Uncovered,Power,Interference
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
47.0,20.018,10.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
47.0,20.018,10.0
50.0,10.1,0.0
48.0,20.018,2.0
50.0,10.1,0.0
50.0,10.1,0.0
17.0,20.14,109.0
17.0,20.115000000000002,110.0
18.0,20.115000000000002,104.0
22.0,20.103,91.0
22.0,20.103,91.0
24.0,20.115000000000002,89.0
20.0,20.103,118.0
20.0,20.103,118.0
21.0,20.14,91.0
22.0,20.14,90.0
8.0,30.155,221.0
8.0,30.24,219.0
4.0,80.134,233.0
4.0,50.223,240.0
4.0,50.258,235.0
4.0,50.185,243.0
4.0,40.315,251.0
22.0,20.08,175.0
22.0,20.08,175.0
22.0,20.08,175.0
7.0,50.138,219.0
7.0,40.28,226.0
5.0,70.179,228.0
5.0,50.198,229.0
6.0,50.186,229.0
6.0,50.258,227.0
6.0,40.243,233.0
6.0,50.138,232.0
5.0,40.303000000000004,233.0
5.0,40.28,234.0
5.0,40.255,242.0
7.0,40.183,229.0
7.0,40.17,239.0
7.0,40.255,227.0
7.0,40.243,228.0
11.0,30.095,214.0
12.0,30.130000000000003,211.0
14.0,30.203000000000003,145.0
11.0,30.143,207.0
12.0,30.143,175.0
11.0,40.218,155.0
11.0,30.18,168.0
11.0,30.155,175.0
10.0,30.155,207.0
9.0,30.215,216.0
11.0,40.206,164.0
9.0,30.215000000000003,190.0
10.0,40.158,166.0
9.0,40.243,163.0
3.0,60.298,241.0
3.0,70.21600000000001,240.0
3.0,60.261,243.0
3.0,50.26,244.0
8.0,40.195,215.0
8.0,40.183,217.0
8.0,50.161,212.0
8.0,40.34,214.0
8.0,60.273,207.0
6.0,40.230000000000004,243.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
96.0,10.015,0.0
